LOCATION,TIME,Value
FRA,2023,5.746751969
FRA,2024,2.706677203
DEU,1996,1.243053174
DEU,1997,1.507482394
DEU,1998,0.596205962
DEU,1999,0.646551724
DEU,2000,1.413276231
DEU,2001,1.900337838
DEU,2002,1.326150021
DEU,2003,1.073619632
DEU,2004,1.780475468
DEU,2005,1.92823775
DEU,2006,1.774744027
DEU,2007,2.270767462
DEU,2008,2.75435638
DEU,2009,0.246170678
DEU,2010,1.118690314
DEU,2011,2.482460874
DEU,2012,2.159031069
DEU,2013,1.60652921
DEU,2014,0.76942589
DEU,2015,0.679644236
DEU,2016,0.366697225
DEU,2017,1.702233663
DEU,2018,1.935009798
DEU,2019,1.353624349
DEU,2020,0.371424056
DEU,2021,3.212345486
DEU,2022,8.479984103
DEU,2023,7.998632712
DEU,2024,3.341757142
GRC,1996,7.871795546
GRC,1997,5.441224445
GRC,1998,4.517152028
GRC,1999,2.141227259
GRC,2000,2.896958134
GRC,2001,3.641591363
GRC,2002,3.921279993
GRC,2003,3.449703626
GRC,2004,3.019738367
GRC,2005,3.486386733
GRC,2006,3.313607129
GRC,2007,2.989299341
GRC,2008,4.230308545
GRC,2009,1.346933321
GRC,2010,4.704351877
GRC,2011,3.117890513
GRC,2012,1.034738222
GRC,2013,-0.854122349
GRC,2014,-1.393810344
GRC,2015,-1.09372038
GRC,2016,0.013333111
GRC,2017,1.138162609
GRC,2018,0.774401898
GRC,2019,0.517478173
GRC,2020,-1.262229885
GRC,2021,0.574111446
GRC,2022,9.653631318
GRC,2023,4.294899893
GRC,2024,2.317850477
IRL,1996,2.148241179
IRL,1997,1.253616201
IRL,1998,2.142857143
IRL,1999,2.447552448
IRL,2000,5.278725825
IRL,2001,3.98746488
IRL,2002,4.697079913
IRL,2003,4.019851117
IRL,2004,2.299618321
IRL,2005,2.182632217
IRL,2006,2.68370607
IRL,2007,2.880256023
IRL,2008,3.119329474
IRL,2009,-1.692642869
IRL,2010,-1.61097852
IRL,2011,1.212856277
IRL,2012,1.900196867
IRL,2013,0.529189416
IRL,2014,0.300802139
IRL,2015,-0.033322226
IRL,2016,-0.208333333
IRL,2017,0.258872651
IRL,2018,0.716308512
IRL,2019,0.876612636
IRL,2020,-0.459091654
IRL,2021,2.42134739
IRL,2022,8.420702078
IRL,2023,7.213405204
IRL,2024,2.931116324
ITA,1991,6.217444309
ITA,1992,4.977045075
ITA,1993,4.512473909
ITA,1994,4.174988112
ITA,1995,5.386160307
ITA,1996,4.000590334
ITA,1997,1.910208055
ITA,1998,1.946036294
ITA,1999,1.639536245
ITA,2000,2.615508699
ITA,2001,2.324275769
ITA,2002,2.611653682
ITA,2003,2.812533419
ITA,2004,2.257125026
ITA,2005,2.207303428
ITA,2006,2.229299363
ITA,2007,2.024922118
ITA,2008,3.492366412
ITA,2009,0.765259082
ITA,2010,1.619544332
ITA,2011,2.935350261
ITA,2012,3.315255423
ITA,2013,1.244602489
ITA,2014,0.234152868
ITA,2015,0.10845987
ITA,2016,-0.050004167
ITA,2017,1.325773368
ITA,2018,1.242593812
ITA,2019,0.633991709
ITA,2020,-0.145384056
ITA,2021,1.941276391
ITA,2022,8.126563342
ITA,2023,6.52585144
ITA,2024,2.955184348
LUX,1996,1.15778592
LUX,1997,1.382769348
LUX,1998,0.969390311
LUX,1999,1.018382991
LUX,2000,3.778288044
LUX,2001,2.403095272
LUX,2002,2.054375079
LUX,2003,2.528163034
LUX,2004,3.243225336
LUX,2005,3.764907214
LUX,2006,2.959336185
LUX,2007,2.651022165
LUX,2008,4.09230109
LUX,2009,0.008432493
LUX,2010,2.798414825
LUX,2011,3.732023404
LUX,2012,2.892260655
LUX,2013,1.69921358
LUX,2014,0.695196595
LUX,2015,0.058366894
LUX,2016,0.038333014
LUX,2017,2.109173907
LUX,2018,2.015842844
LUX,2019,1.649740104
LUX,2020,0.003933508
LUX,2021,3.473937603
LUX,2022,8.194999697
LUX,2023,3.963938867
LUX,2024,3.204492695
NLD,1991,3.160675535
NLD,1992,2.826047192
NLD,1993,1.618785022
NLD,1994,2.135667396
NLD,1995,1.379724055
NLD,1996,1.431100884
NLD,1997,1.859631706
NLD,1998,1.776948403
NLD,1999,2.033213435
NLD,2000,2.337213428
NLD,2001,5.119056939
NLD,2002,3.859003277
NLD,2003,2.234287763
NLD,2004,1.385827087
NLD,2005,1.49240455
NLD,2006,1.649641149
NLD,2007,1.584549208
NLD,2008,2.209606081
NLD,2009,0.974349511
NLD,2010,0.931137834
NLD,2011,2.475216151
NLD,2012,2.824479411
NLD,2013,2.562163834
NLD,2014,0.318343275
NLD,2015,0.212112102
NLD,2016,0.104164931
NLD,2017,1.293630907
NLD,2018,1.60090729
NLD,2019,2.6757476
NLD,2020,1.112362826
NLD,2021,2.826667913
NLD,2022,12.23701661
NLD,2023,8.5409826
NLD,2024,4.157236338
PRT,1991,11.42788404
PRT,1992,8.863219259
PRT,1993,5.930186434
PRT,1994,4.970979217
PRT,1995,3.968607866
PRT,1996,2.935269641
PRT,1997,1.88968335
PRT,1998,2.215294333
PRT,1999,2.169674788
PRT,2000,2.804930872
PRT,2001,4.410307799
PRT,2002,3.700512597
PRT,2003,3.237171734
PRT,2004,2.510161877
PRT,2005,2.129689441
PRT,2006,3.045695158
PRT,2007,2.422142061
PRT,2008,2.651595475
PRT,2009,-0.902648668
PRT,2010,1.391230264
PRT,2011,3.554157094
PRT,2012,2.776123268
PRT,2013,0.440110532
PRT,2014,-0.159719028
PRT,2015,0.507563194
PRT,2016,0.635833333
PRT,2017,1.555940147
PRT,2018,1.167626099
PRT,2019,0.299821075
PRT,2020,-0.121337769
PRT,2021,0.941308984
PRT,2022,8.278830689
PRT,2023,6.578346266
PRT,2024,2.433334597
SVK,1996,5.778160611
SVK,1997,6.013709815
SVK,1998,6.686369335
SVK,1999,10.4460823
SVK,2000,12.1897089
SVK,2001,7.152728849
SVK,2002,3.502649115
SVK,2003,8.433411115
SVK,2004,7.47329758
SVK,2005,2.788581493
SVK,2006,4.264194433
SVK,2007,1.889856207
SVK,2008,3.936176341
SVK,2009,0.925532504
SVK,2010,0.694647825
SVK,2011,4.080964889
SVK,2012,3.74193323
SVK,2013,1.463829357
SVK,2014,-0.102043356
SVK,2015,-0.343813842
SVK,2016,-0.481666667
SVK,2017,1.390866005
SVK,2018,2.53297325
SVK,2019,2.771647201
SVK,2020,2.014248654
SVK,2021,2.819584976
SVK,2022,12.03914323
SVK,2023,15.45963423
SVK,2024,5.098517174
ESP,1993,4.872251932
ESP,1994,4.62700661
ESP,1995,4.575812274
ESP,1996,3.568819846
ESP,1997,1.879043023
ESP,1998,1.765017134
ESP,1999,2.23207101
ESP,2000,3.485105352
ESP,2001,2.824779424
ESP,2002,3.590449745
ESP,2003,3.103474793
ESP,2004,3.053744193
ESP,2005,3.384065014
ESP,2006,3.561320519
ESP,2007,2.843016069
ESP,2008,4.130671575
ESP,2009,-0.238964787
ESP,2010,2.042845521
ESP,2011,3.049871556
ESP,2012,2.436110132
ESP,2013,1.529785931
ESP,2014,-0.190098355
ESP,2015,-0.629347466
ESP,2016,-0.336666667
ESP,2017,2.036021272
ESP,2018,1.735624554
ESP,2019,0.779708254
ESP,2020,-0.337284302
ESP,2021,3.008139864
ESP,2022,8.599347869
ESP,2023,4.781068639
ESP,2024,4.779285057
EST,1997,9.311401268
EST,1998,8.781822428
EST,1999,3.097874429
EST,2000,3.931514593
EST,2001,5.626243398
EST,2002,3.588075881
EST,2003,1.386563416
EST,2004,3.038396037
EST,2005,4.117050449
EST,2006,4.443722866
EST,2007,6.745273242
EST,2008,10.6057991
EST,2009,0.198954514
EST,2010,2.740899358
EST,2011,5.079768085
EST,2012,4.219333201
EST,2013,3.246595962
EST,2014,0.475907198
EST,2015,0.067545593
EST,2016,0.8
EST,2017,3.650793651
EST,2018,3.412136294
EST,2019,2.26834498
EST,2020,-0.634262227
EST,2021,4.487150295
EST,2022,20.15283628
EST,2023,10.83848282
EST,2024,2.772540688
LVA,1997,8.073780727
LVA,1998,4.29486333
LVA,1999,2.114392429
LVA,2000,2.633210378
LVA,2001,2.52638891
LVA,2002,1.963354641
LVA,2003,2.93960449
LVA,2004,6.18702815
LVA,2005,6.890354297
LVA,2006,6.571057674
LVA,2007,10.0812065
LVA,2008,15.25345136
LVA,2009,3.258842032
LVA,2010,-1.223788609
LVA,2011,4.22247324
LVA,2012,2.285473438
LVA,2013,0.010932362
LVA,2014,0.690345257
LVA,2015,0.212948967
LVA,2016,0.099165014
LVA,2017,2.893748803
LVA,2018,2.554269117
LVA,2019,2.747053347
LVA,2020,0.080622869
LVA,2021,3.239195648
LVA,2022,16.98620681
LVA,2023,10.70042969
LVA,2024,5.003235682
SVN,1997,8.337725116
SVN,1998,7.915793005
SVN,1999,6.114962539
SVN,2000,8.952950138
SVN,2001,8.624630277
SVN,2002,7.491800235
SVN,2003,5.647798452
SVN,2004,3.658735954
SVN,2005,2.43086952
SVN,2006,2.548705631
SVN,2007,3.803613433
SVN,2008,5.522395256
SVN,2009,0.849842825
SVN,2010,2.055961291
SVN,2011,2.076692918
SVN,2012,2.809428547
SVN,2013,1.929780034
SVN,2014,0.366032818
SVN,2015,-0.763301963
SVN,2016,-0.153334611
SVN,2017,1.556566373
SVN,2018,1.933760684
SVN,2019,1.692291568
SVN,2020,-0.275108616
SVN,2021,2.047143938
SVN,2022,9.235167726
SVN,2023,7.501822744
SVN,2024,4.383726358
LTU,1997,10.31604831
LTU,1998,5.369294715
LTU,1999,1.443468306
LTU,2000,1.094183165
LTU,2001,1.549494018
LTU,2002,0.335758923
LTU,2003,-1.076549326
LTU,2004,1.154475851
LTU,2005,2.671760268
LTU,2006,3.756722923
LTU,2007,5.818149319
LTU,2008,11.09152142
LTU,2009,4.161479468
LTU,2010,1.19062825
LTU,2011,4.124027373
LTU,2012,3.164047279
LTU,2013,1.164186371
LTU,2014,0.242271377
LTU,2015,-0.677051433
LTU,2016,0.678333333
LTU,2017,3.718112139
LTU,2018,2.531403125
LTU,2019,2.24240726
LTU,2020,1.061975198
LTU,2021,4.625096043
LTU,2022,18.83714663
LTU,2023,11.88365439
LTU,2024,4.028063986
